id,day,name,address,city,codes,map,notes,created_at,updated_at
213,"Friday, PM 06:45",Starting the Steps,"Kaiser Permanente San Jose Medical Center:  5755 Cottle Rd., Bldg.3, Rm. 2","San Jose, South","O,Wh",http://goo.gl/maps/BVLkb,,2013-07-30 00:50:09 UTC,2013-07-30 00:50:09 UTC
335,"Friday, PM 07:00",Serenity at 7,"Mt. Olive Lutheran Church: 1989 E. Calaveras Blvd., near Evans Rd.",Milpitas,"O,Wh","http://maps.google.com/maps?q=1989+E+Calaveras+Blvd,+Milpitas,+CA+95035&spn=0.021754,0.036489&hl=en",,2013-07-30 00:50:09 UTC,2013-07-30 00:50:09 UTC
433,"Friday, PM 07:00",Santa Clara Friday Night Group (chips),Our Savior's Lutheran Church: 1224 N. Winchester Blvd. & Tulip Ave.,Santa Clara,"O,Wh","http://maps.google.com/maps?q=1224+N+Winchester+Blvd,+Santa+Clara,+CA+95050&hl=en&ll=37.335873,-121.950088&spn=0.015014,0.042915",,2013-07-30 00:50:10 UTC,2013-07-30 00:50:10 UTC
170,"Friday, PM 07:30",Gay & Lesbian Step Study & 12 Traditions Group,Billy DeFrank Center:  938 The Alameda,"San Jose, Downtown","G,L,O",http://goo.gl/maps/a7YU,,2013-07-30 00:50:09 UTC,2013-07-30 00:50:09 UTC
197,"Friday, PM 07:30",Hora de Vivir (Spanish),Alano Club of San Jose: 1122 Fair Ave. & McLaughlin (btwn. Tully & Story),"San Jose, East","S,O","http://maps.google.com/maps?q=1122+Fair+Ave,+san+jose+ca&spn=0.020508,0.035397&hl=en",,2013-07-30 00:50:09 UTC,2013-07-30 00:50:09 UTC
223,"Friday, PM 07:30",Palo Alto Group,Palo Alto Community Center: Middlefield & Melville,Palo Alto,"O,Wh","http://maps.google.com/maps?q=1305+Middlefield+Road,+palo+alto,+ca&spn=0.020508,0.035397&hl=en",,2013-07-30 00:50:09 UTC,2013-07-30 00:50:09 UTC
229,"Friday, PM 07:30",Seekers Group,Alano Club of San Jose: 1122 Fair Ave. & McLaughlin (btwn. Tully & Story),"San Jose, East",O,"http://maps.google.com/maps?q=1122+Fair+Ave,+san+jose+ca&spn=0.020508,0.035397&hl=en",,2013-07-30 00:50:09 UTC,2013-07-30 00:50:09 UTC
252,"Friday, PM 07:30",Lesbians Living the Promises,"First United Methodist Church: 1675 S. Winchester, at Hamilton",Campbell,"L,C","http://maps.google.com/maps?q=1675+S+Winchester+Blvd,+Campbell,+CA+95008&spn=0.021796,0.036489&hl=en",,2013-07-30 00:50:09 UTC,2013-07-30 00:50:09 UTC
156,"Friday, PM 07:45",Thru the Big Book,"Kaiser Permanente San Jose Medical Center:  5755 Cottle Rd., Bldg.3, Rm 2","San Jose, South","O,Wh",http://goo.gl/maps/BVLkb,,2013-07-30 00:50:09 UTC,2013-07-30 00:50:09 UTC
209,"Friday, PM 08:00",Speaker Meeting (chip mtg last Fri of month),"Saturday Nite Live Group: 1388 S. Bascom Ave., at Stokes St.","San Jose, Willow Glen","O,Wh","http://maps.google.com/maps?q=1388+S.+Bascom+Ave,+san+jose+ca&hl=en",,2013-07-30 00:50:09 UTC,2013-07-30 00:50:09 UTC
